Period,Company,Model,Marketing End,Rate of coverage of model,Durability,Design,Connectivity,Maintenance,Accessories,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Marketing_share,Marketing_retail,Price
18,Profit,5,0,0.0,,,,,,,,,,,,,0,0.0,
18,Primus,5,400,12.0,20.0,10.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,200.0,
18,Best,5,500,24.0,,,,,,,,,,,,,1,300.0,2449
18,Mikro,5,0,0.0,,,,,,,,,,,,,0,0.0,
17,Digi,5,0,0.0,,,,,,,,,,,,,0,0.0,
17,Profit,5,0,0.0,,,,,,,,,,,,,0,0.0,
17,Primus,5,0,0.0,,,,,,,,,,,,,0,0.0,
17,Best,5,400,10.0,20.0,20.0,20.0,20.0,10.0,,,,,,,,0,200.0,2 598
17,Mikro,5,0,0.0,,,,,,,,,,,,,0,0.0,
16,Digi,5,0,0.0,,,,,,,,,,,,,0,0.0,
16,Profit,5,0,0.0,,,,,,,,,,,,,0,0.0,
16,Primus,5,0,0.0,,,,,,,,,,,,,0,0.0,
16,Best,5,0,0.0,,,,,,,,,,,,,0,0.0,
16,Mikro,5,0,0.0,,,,,,,,,,,,,0,0.0,
15,Digi,6,0,0.0,,,,,,,,,,,,,0,0.0,
15,Profit,6,0,0.0,,,,,,,,,,,,,0,0.0,
15,Primus,6,0,0.0,,,,,,,,,,,,,0,0.0,
15,Best,6,0,0.0,,,,,,,,,,,,,0,0.0,
15,Mikro,6,0,0.0,,,,,,,,,,,,,0,0.0,
13,Digi,6,0,0.0,,,,,,,,,,,,,0,0.0,
13,Profit,6,0,0.0,,,,,,,,,,,,,0,0.0,
13,Primus,6,0,0.0,,,,,,,,,,,,,0,0.0,
13,Best,6,0,0.0,,,,,,,,,,,,,0,0.0,
13,Mikro,6,0,0.0,,,,,,,,,,,,,0,0.0,
14,Digi,6,0,0.0,,,,,,,,,,,,,0,0.0,
14,Profit,6,0,0.0,,,,,,,,,,,,,0,0.0,
14,Primus,6,0,0.0,,,,,,,,,,,,,0,0.0,
14,Best,6,0,0.0,,,,,,,,,,,,,0,0.0,
14,Mikro,6,0,0.0,,,,,,,,,,,,,0,0.0,
18,Digi,6,0,0.0,,,,,,,,,,,,,0,0.0,
18,Profit,6,0,0.0,,,,,,,,,,,,,0,0.0,
18,Primus,6,0,0.0,,,,,,,,,,,,,0,0.0,
18,Best,6,0,0.0,,,,,,,,,,,,,0,0.0,
18,Mikro,6,0,0.0,,,,,,,,,,,,,0,0.0,
17,Digi,6,0,0.0,,,,,,,,,,,,,0,0.0,
17,Profit,6,0,0.0,,,,,,,,,,,,,0,0.0,
17,Primus,6,0,0.0,,,,,,,,,,,,,0,0.0,
17,Best,6,0,0.0,,,,,,,,,,,,,0,0.0,
17,Mikro,6,0,0.0,,,,,,,,,,,,,0,0.0,
16,Digi,6,0,0.0,,,,,,,,,,,,,0,0.0,
16,Profit,6,0,0.0,,,,,,,,,,,,,0,0.0,
16,Primus,6,0,0.0,,,,,,,,,,,,,0,0.0,
16,Best,6,0,0.0,,,,,,,,,,,,,0,0.0,
16,Mikro,6,0,0.0,,,,,,,,,,,,,0,0.0,
